Real Date,Bytes,X,Y,Last Seen,Associated,Test Point,Traffic,RMSE
2022-09-05 09:28:00,5448,21.85,44.02,2022-09-05T09:27:57.917+0100,True,5,No,6.399445504479275
2022-09-05 09:28:01,8629,21.85,44.02,2022-09-05T09:27:59.945+0100,True,5,No,6.399445504479275
2022-09-05 09:28:02,5500,21.85,44.02,2022-09-05T09:27:59.945+0100,True,5,No,6.399445504479275
2022-09-05 09:28:03,8681,21.85,44.02,2022-09-05T09:28:01.963+0100,True,5,No,6.399445504479275
2022-09-05 09:28:04,5552,21.85,44.02,2022-09-05T09:28:01.963+0100,True,5,No,6.399445504479275
2022-09-05 09:28:05,8577,21.85,44.02,2022-09-05T09:28:04.025+0100,True,5,No,6.399445504479275
2022-09-05 09:28:06,5589,21.85,44.02,2022-09-05T09:28:04.025+0100,True,5,No,6.399445504479275
2022-09-05 09:28:07,8629,21.85,44.02,2022-09-05T09:28:06.070+0100,True,5,No,6.399445504479275
2022-09-05 09:28:08,5552,21.85,44.02,2022-09-05T09:28:06.070+0100,True,5,No,6.399445504479275
2022-09-05 09:28:09,8442,21.85,44.02,2022-09-05T09:28:08.099+0100,True,5,No,6.399445504479275
2022-09-05 09:28:10,5635,21.85,44.02,2022-09-05T09:28:08.099+0100,True,5,No,6.399445504479275
2022-09-05 09:28:11,8681,21.85,44.02,2022-09-05T09:28:10.146+0100,True,5,No,6.399445504479275
2022-09-05 09:28:12,5552,21.85,44.02,2022-09-05T09:28:10.146+0100,True,5,No,6.399445504479275
2022-09-05 09:28:13,8629,21.85,44.02,2022-09-05T09:28:12.202+0100,True,5,No,6.399445504479275
2022-09-05 09:28:14,5552,21.85,44.02,2022-09-05T09:28:12.202+0100,True,5,No,6.399445504479275
2022-09-05 09:28:15,8577,21.85,44.02,2022-09-05T09:28:14.216+0100,True,5,No,6.399445504479275
2022-09-05 09:28:16,5500,21.85,44.02,2022-09-05T09:28:14.216+0100,True,5,No,6.399445504479275
2022-09-05 09:28:17,8629,21.85,44.02,2022-09-05T09:28:16.244+0100,True,5,No,6.399445504479275
2022-09-05 09:28:18,5500,21.85,44.02,2022-09-05T09:28:16.244+0100,True,5,No,6.399445504479275
2022-09-05 09:28:19,8629,21.85,44.02,2022-09-05T09:28:18.279+0100,True,5,No,6.399445504479275
2022-09-05 09:28:20,5448,21.85,44.02,2022-09-05T09:28:18.279+0100,True,5,No,6.399445504479275
2022-09-05 09:28:21,8629,21.85,44.02,2022-09-05T09:28:20.351+0100,True,5,No,6.399445504479275
2022-09-05 09:28:22,5500,21.85,44.02,2022-09-05T09:28:20.351+0100,True,5,No,6.399445504479275
2022-09-05 09:28:23,8681,21.85,44.02,2022-09-05T09:28:22.372+0100,True,5,No,6.399445504479275
2022-09-05 09:28:24,5500,21.85,44.02,2022-09-05T09:28:22.372+0100,True,5,No,6.399445504479275
2022-09-05 09:28:25,8577,21.85,44.02,2022-09-05T09:28:24.457+0100,True,5,No,6.399445504479275
2022-09-05 09:28:26,5641,21.85,44.02,2022-09-05T09:28:24.457+0100,True,5,No,6.399445504479275
2022-09-05 09:28:27,8681,21.85,44.02,2022-09-05T09:28:26.478+0100,True,5,No,6.399445504479275
2022-09-05 09:28:28,5500,21.85,44.02,2022-09-05T09:28:26.478+0100,True,5,No,6.399445504479275
2022-09-05 09:28:29,8629,21.85,44.02,2022-09-05T09:28:28.500+0100,True,5,No,6.399445504479275
2022-09-05 09:28:30,5448,21.85,44.02,2022-09-05T09:28:28.500+0100,True,5,No,6.399445504479275
2022-09-05 09:28:31,8685,29.133335,44.02,2022-09-05T09:28:30.622+0100,True,5,No,5.473052362678893
2022-09-05 09:28:32,5552,29.133335,44.02,2022-09-05T09:28:30.622+0100,True,5,No,5.473052362678893
2022-09-05 09:28:33,5500,29.133335,44.02,2022-09-05T09:28:30.622+0100,True,5,No,5.473052362678893
2022-09-05 09:28:34,8633,36.416668,44.02,2022-09-05T09:28:32.692+0100,True,5,No,11.182557772222957
2022-09-05 09:28:35,5448,36.416668,44.02,2022-09-05T09:28:32.692+0100,True,5,No,11.182557772222957
2022-09-05 09:28:36,8636,38.069798,39.59287,2022-09-05T09:28:34.769+0100,True,5,No,11.825176902616889
2022-09-05 09:28:37,5500,38.069798,39.59287,2022-09-05T09:28:34.769+0100,True,5,No,11.825176902616889
2022-09-05 09:28:38,8637,42.006794,39.202194,2022-09-05T09:28:36.814+0100,True,5,No,15.760968187090285
2022-09-05 09:28:39,5552,42.006794,39.202194,2022-09-05T09:28:36.814+0100,True,5,No,15.760968187090285
2022-09-05 09:28:40,8585,41.993164,39.599743,2022-09-05T09:28:38.832+0100,True,5,No,15.748118736493733
2022-09-05 09:28:41,5500,41.993164,39.599743,2022-09-05T09:28:38.832+0100,True,5,No,15.748118736493733
2022-09-05 09:28:42,8449,41.979496,39.60245,2022-09-05T09:28:40.843+0100,True,5,No,15.734491935969078
2022-09-05 09:28:43,5947,41.979496,39.60245,2022-09-05T09:28:40.843+0100,True,5,No,15.734491935969078
2022-09-05 09:28:44,8686,40.7896,39.20082,2022-09-05T09:28:42.919+0100,True,5,No,14.543864948561644
2022-09-05 09:28:45,5448,40.7896,39.20082,2022-09-05T09:28:42.919+0100,True,5,No,14.543864948561644
2022-09-05 09:28:46,8774,36.416668,44.02,2022-09-05T09:28:44.964+0100,True,5,No,11.182557772222957
2022-09-05 09:28:47,5552,36.416668,44.02,2022-09-05T09:28:44.964+0100,True,5,No,11.182557772222957
2022-09-05 09:28:48,8637,35.161148,39.598366,2022-09-05T09:28:46.970+0100,True,5,No,8.917350563086547
2022-09-05 09:28:49,5552,35.161148,39.598366,2022-09-05T09:28:46.970+0100,True,5,No,8.917350563086547
2022-09-05 09:28:50,8581,29.133335,44.02,2022-09-05T09:28:48.972+0100,True,5,No,5.473052362678893
2022-09-05 09:28:51,5500,29.133335,44.02,2022-09-05T09:28:48.972+0100,True,5,No,5.473052362678893
2022-09-05 09:28:52,8685,29.133335,44.02,2022-09-05T09:28:50.979+0100,True,5,No,5.473052362678893
2022-09-05 09:28:53,5500,29.133335,44.02,2022-09-05T09:28:50.979+0100,True,5,No,5.473052362678893
2022-09-05 09:28:54,8629,21.85,44.02,2022-09-05T09:28:52.974+0100,True,5,No,6.399445504479275
2022-09-05 09:28:55,5448,21.85,44.02,2022-09-05T09:28:52.974+0100,True,5,No,6.399445504479275
2022-09-05 09:28:56,8629,21.85,44.02,2022-09-05T09:28:54.976+0100,True,5,No,6.399445504479275
2022-09-05 09:28:57,5500,21.85,44.02,2022-09-05T09:28:54.976+0100,True,5,No,6.399445504479275
2022-09-05 09:28:58,8681,21.85,44.02,2022-09-05T09:28:56.990+0100,True,5,No,6.399445504479275
2022-09-05 09:28:59,5500,21.85,44.02,2022-09-05T09:28:56.990+0100,True,5,No,6.399445504479275
2022-09-05 09:29:00,8577,21.85,44.02,2022-09-05T09:28:58.992+0100,True,5,No,6.399445504479275
2022-09-05 09:29:01,5552,21.85,44.02,2022-09-05T09:28:58.992+0100,True,5,No,6.399445504479275
2022-09-05 09:29:02,8577,21.85,44.02,2022-09-05T09:29:01.024+0100,True,5,No,6.399445504479275
2022-09-05 09:29:03,5500,21.85,44.02,2022-09-05T09:29:01.024+0100,True,5,No,6.399445504479275
2022-09-05 09:29:04,8629,21.85,44.02,2022-09-05T09:29:03.079+0100,True,5,No,6.399445504479275
2022-09-05 09:29:05,5448,21.85,44.02,2022-09-05T09:29:03.079+0100,True,5,No,6.399445504479275
2022-09-05 09:29:06,8718,21.85,44.02,2022-09-05T09:29:05.089+0100,True,5,No,6.399445504479275
2022-09-05 09:29:07,5448,21.85,44.02,2022-09-05T09:29:05.089+0100,True,5,No,6.399445504479275
2022-09-05 09:29:08,8629,21.85,44.02,2022-09-05T09:29:07.144+0100,True,5,No,6.399445504479275
2022-09-05 09:29:09,5500,21.85,44.02,2022-09-05T09:29:07.144+0100,True,5,No,6.399445504479275
2022-09-05 09:29:10,8577,21.85,44.02,2022-09-05T09:29:09.374+0100,True,5,No,6.399445504479275
2022-09-05 09:29:11,5448,21.85,44.02,2022-09-05T09:29:09.374+0100,True,5,No,6.399445504479275
2022-09-05 09:29:12,8577,21.85,44.02,2022-09-05T09:29:11.493+0100,True,5,No,6.399445504479275
2022-09-05 09:29:13,5500,21.85,44.02,2022-09-05T09:29:11.493+0100,True,5,No,6.399445504479275
2022-09-05 09:29:14,8629,21.85,44.02,2022-09-05T09:29:13.520+0100,True,5,No,6.399445504479275
2022-09-05 09:29:15,5448,21.85,44.02,2022-09-05T09:29:13.520+0100,True,5,No,6.399445504479275
2022-09-05 09:29:16,8629,21.85,44.02,2022-09-05T09:29:15.561+0100,True,5,No,6.399445504479275
2022-09-05 09:29:17,5500,21.85,44.02,2022-09-05T09:29:15.561+0100,True,5,No,6.399445504479275
2022-09-05 09:29:18,8629,21.85,44.02,2022-09-05T09:29:17.560+0100,True,5,No,6.399445504479275
2022-09-05 09:29:19,5500,21.85,44.02,2022-09-05T09:29:17.560+0100,True,5,No,6.399445504479275
2022-09-05 09:29:20,8577,21.85,44.02,2022-09-05T09:29:19.745+0100,True,5,No,6.399445504479275
2022-09-05 09:29:21,5500,21.85,44.02,2022-09-05T09:29:19.745+0100,True,5,No,6.399445504479275
2022-09-05 09:29:22,5500,21.85,44.02,2022-09-05T09:29:19.745+0100,True,5,No,6.399445504479275
2022-09-05 09:29:23,8681,21.85,44.02,2022-09-05T09:29:21.814+0100,True,5,No,6.399445504479275
2022-09-05 09:29:24,5500,21.85,44.02,2022-09-05T09:29:21.814+0100,True,5,No,6.399445504479275
2022-09-05 09:29:25,8577,21.85,44.02,2022-09-05T09:29:23.851+0100,True,5,No,6.399445504479275
2022-09-05 09:29:26,5589,21.85,44.02,2022-09-05T09:29:23.851+0100,True,5,No,6.399445504479275
2022-09-05 09:29:27,8629,21.85,44.02,2022-09-05T09:29:25.882+0100,True,5,No,6.399445504479275
2022-09-05 09:29:28,5500,21.85,44.02,2022-09-05T09:29:25.882+0100,True,5,No,6.399445504479275
2022-09-05 09:29:29,8629,21.85,44.02,2022-09-05T09:29:27.874+0100,True,5,No,6.399445504479275
2022-09-05 09:29:30,5261,21.85,44.02,2022-09-05T09:29:27.874+0100,True,5,No,6.399445504479275
2022-09-05 09:29:31,8768,14.566668,44.02,2022-09-05T09:29:29.960+0100,True,5,No,12.571609711135007
2022-09-05 09:29:32,5500,14.566668,44.02,2022-09-05T09:29:29.960+0100,True,5,No,12.571609711135007
2022-09-05 09:29:33,8633,14.566668,44.02,2022-09-05T09:29:32.004+0100,True,5,No,12.571609711135007
2022-09-05 09:29:34,5552,14.566668,44.02,2022-09-05T09:29:32.004+0100,True,5,No,12.571609711135007
2022-09-05 09:29:35,8581,14.566668,44.02,2022-09-05T09:29:34.029+0100,True,5,No,12.571609711135007
2022-09-05 09:29:36,5552,14.566668,44.02,2022-09-05T09:29:34.029+0100,True,5,No,12.571609711135007
2022-09-05 09:29:37,8633,14.566668,44.02,2022-09-05T09:29:36.255+0100,True,5,No,12.571609711135007
2022-09-05 09:29:38,5500,14.566668,44.02,2022-09-05T09:29:36.255+0100,True,5,No,12.571609711135007
2022-09-05 09:29:39,8681,21.85,44.02,2022-09-05T09:29:38.370+0100,True,5,No,6.399445504479275
2022-09-05 09:29:40,5448,21.85,44.02,2022-09-05T09:29:38.370+0100,True,5,No,6.399445504479275
2022-09-05 09:29:41,8629,21.85,44.02,2022-09-05T09:29:40.401+0100,True,5,No,6.399445504479275
2022-09-05 09:29:42,5500,21.85,44.02,2022-09-05T09:29:40.401+0100,True,5,No,6.399445504479275
