Real Date,Bytes,X,Y,Last Seen,Associated,Test Point,Traffic
2022-09-05 15:01:00,8802,66.69659,35.680454,2022-09-05T15:00:59.774+0100,True,16,No
2022-09-05 15:01:01,5448,66.69659,35.680454,2022-09-05T15:00:59.774+0100,True,16,No
2022-09-05 15:01:02,5448,66.69659,35.680454,2022-09-05T15:00:59.774+0100,True,16,No
2022-09-05 15:01:03,8798,58.26667,44.02,2022-09-05T15:01:01.832+0100,True,16,No
2022-09-05 15:01:04,5448,58.26667,44.02,2022-09-05T15:01:01.832+0100,True,16,No
2022-09-05 15:01:05,8887,58.26667,44.02,2022-09-05T15:01:03.877+0100,True,16,No
2022-09-05 15:01:06,5500,58.26667,44.02,2022-09-05T15:01:03.877+0100,True,16,No
2022-09-05 15:01:07,8694,58.26667,44.02,2022-09-05T15:01:06.113+0100,True,16,No
2022-09-05 15:01:08,5552,58.26667,44.02,2022-09-05T15:01:06.113+0100,True,16,No
2022-09-05 15:01:09,8691,65.55,44.02,2022-09-05T15:01:08.182+0100,True,16,No
2022-09-05 15:01:10,5500,65.55,44.02,2022-09-05T15:01:08.182+0100,True,16,No
2022-09-05 15:01:11,8795,65.55,44.02,2022-09-05T15:01:10.178+0100,True,16,No
2022-09-05 15:01:12,5448,65.55,44.02,2022-09-05T15:01:10.178+0100,True,16,No
2022-09-05 15:01:13,8743,65.55,44.02,2022-09-05T15:01:12.188+0100,True,16,No
2022-09-05 15:01:14,5448,65.55,44.02,2022-09-05T15:01:12.188+0100,True,16,No
2022-09-05 15:01:15,8691,65.55,44.02,2022-09-05T15:01:14.254+0100,True,16,No
2022-09-05 15:01:16,5500,65.55,44.02,2022-09-05T15:01:14.254+0100,True,16,No
2022-09-05 15:01:17,8691,65.55,44.02,2022-09-05T15:01:16.320+0100,True,16,No
2022-09-05 15:01:18,5448,65.55,44.02,2022-09-05T15:01:16.320+0100,True,16,No
2022-09-05 15:01:19,8691,65.55,44.02,2022-09-05T15:01:18.327+0100,True,16,No
2022-09-05 15:01:20,5448,65.55,44.02,2022-09-05T15:01:18.327+0100,True,16,No
2022-09-05 15:01:21,8691,65.55,44.02,2022-09-05T15:01:20.345+0100,True,16,No
2022-09-05 15:01:22,5448,65.55,44.02,2022-09-05T15:01:20.345+0100,True,16,No
2022-09-05 15:01:23,8743,65.55,44.02,2022-09-05T15:01:22.403+0100,True,16,No
2022-09-05 15:01:24,5448,65.55,44.02,2022-09-05T15:01:22.403+0100,True,16,No
2022-09-05 15:01:25,8780,65.55,44.02,2022-09-05T15:01:24.599+0100,True,16,No
2022-09-05 15:01:26,5448,65.55,44.02,2022-09-05T15:01:24.599+0100,True,16,No
2022-09-05 15:01:27,8691,65.55,44.02,2022-09-05T15:01:26.648+0100,True,16,No
2022-09-05 15:01:28,5552,65.55,44.02,2022-09-05T15:01:26.648+0100,True,16,No
2022-09-05 15:01:29,8743,65.55,44.02,2022-09-05T15:01:28.667+0100,True,16,No
2022-09-05 15:01:30,5448,65.55,44.02,2022-09-05T15:01:28.667+0100,True,16,No
2022-09-05 15:01:31,8691,65.55,44.02,2022-09-05T15:01:30.668+0100,True,16,No
2022-09-05 15:01:32,5448,65.55,44.02,2022-09-05T15:01:30.668+0100,True,16,No
2022-09-05 15:01:33,8691,65.55,44.02,2022-09-05T15:01:32.717+0100,True,16,No
2022-09-05 15:01:34,5500,65.55,44.02,2022-09-05T15:01:32.717+0100,True,16,No
2022-09-05 15:01:35,8691,65.55,44.02,2022-09-05T15:01:34.730+0100,True,16,No
2022-09-05 15:01:36,5448,65.55,44.02,2022-09-05T15:01:34.730+0100,True,16,No
2022-09-05 15:01:37,8691,65.55,44.02,2022-09-05T15:01:36.731+0100,True,16,No
2022-09-05 15:01:38,5760,65.55,44.02,2022-09-05T15:01:36.731+0100,True,16,No
2022-09-05 15:01:39,8743,65.55,44.02,2022-09-05T15:01:38.740+0100,True,16,No
2022-09-05 15:01:40,5500,65.55,44.02,2022-09-05T15:01:38.740+0100,True,16,No
2022-09-05 15:01:41,8743,65.55,44.02,2022-09-05T15:01:40.748+0100,True,16,No
2022-09-05 15:01:42,5448,65.55,44.02,2022-09-05T15:01:40.748+0100,True,16,No
2022-09-05 15:01:43,8747,72.833336,44.02,2022-09-05T15:01:42.804+0100,True,16,No
2022-09-05 15:01:44,5500,72.833336,44.02,2022-09-05T15:01:42.804+0100,True,16,No
2022-09-05 15:01:45,5641,72.833336,44.02,2022-09-05T15:01:42.804+0100,True,16,No
2022-09-05 15:01:46,8746,80.11667,44.02,2022-09-05T15:01:45.015+0100,True,16,No
2022-09-05 15:01:47,5396,80.11667,44.02,2022-09-05T15:01:45.015+0100,True,16,No
2022-09-05 15:01:48,8798,80.11667,44.02,2022-09-05T15:01:47.057+0100,True,16,No
2022-09-05 15:01:49,5500,80.11667,44.02,2022-09-05T15:01:47.057+0100,True,16,No
2022-09-05 15:01:50,8746,80.11667,44.02,2022-09-05T15:01:49.127+0100,True,16,No
2022-09-05 15:01:51,5448,80.11667,44.02,2022-09-05T15:01:49.127+0100,True,16,No
2022-09-05 15:01:52,8508,72.833336,44.02,2022-09-05T15:01:51.219+0100,True,16,No
2022-09-05 15:01:53,5448,72.833336,44.02,2022-09-05T15:01:51.219+0100,True,16,No
2022-09-05 15:01:54,8934,72.833336,44.02,2022-09-05T15:01:53.377+0100,True,16,No
2022-09-05 15:01:55,5500,72.833336,44.02,2022-09-05T15:01:53.377+0100,True,16,No
2022-09-05 15:01:56,8747,72.833336,44.02,2022-09-05T15:01:55.546+0100,True,16,No
2022-09-05 15:01:57,5396,72.833336,44.02,2022-09-05T15:01:55.546+0100,True,16,No
2022-09-05 15:01:58,8694,80.11667,44.02,2022-09-05T15:01:57.548+0100,True,16,No
2022-09-05 15:01:59,5396,80.11667,44.02,2022-09-05T15:01:57.548+0100,True,16,No
2022-09-05 15:02:00,8798,80.11667,44.02,2022-09-05T15:01:59.649+0100,True,16,No
2022-09-05 15:02:01,5500,80.11667,44.02,2022-09-05T15:01:59.649+0100,True,16,No
2022-09-05 15:02:02,8742,87.4,44.02,2022-09-05T15:02:01.678+0100,True,16,No
2022-09-05 15:02:03,5500,87.4,44.02,2022-09-05T15:02:01.678+0100,True,16,No
2022-09-05 15:02:04,8690,87.4,44.02,2022-09-05T15:02:03.693+0100,True,16,No
2022-09-05 15:02:05,5589,87.4,44.02,2022-09-05T15:02:03.693+0100,True,16,No
2022-09-05 15:02:06,8690,87.4,44.02,2022-09-05T15:02:05.699+0100,True,16,No
2022-09-05 15:02:07,5500,87.4,44.02,2022-09-05T15:02:05.699+0100,True,16,No
2022-09-05 15:02:08,8742,87.4,44.02,2022-09-05T15:02:07.800+0100,True,16,No
2022-09-05 15:02:09,5448,87.4,44.02,2022-09-05T15:02:07.800+0100,True,16,No
2022-09-05 15:02:10,8794,87.4,44.02,2022-09-05T15:02:09.813+0100,True,16,No
2022-09-05 15:02:11,5500,87.4,44.02,2022-09-05T15:02:09.813+0100,True,16,No
2022-09-05 15:02:12,8690,87.4,44.02,2022-09-05T15:02:11.873+0100,True,16,No
2022-09-05 15:02:13,5500,87.4,44.02,2022-09-05T15:02:11.873+0100,True,16,No
2022-09-05 15:02:14,8742,87.4,44.02,2022-09-05T15:02:13.956+0100,True,16,No
2022-09-05 15:02:15,5500,87.4,44.02,2022-09-05T15:02:13.956+0100,True,16,No
2022-09-05 15:02:16,8742,87.4,44.02,2022-09-05T15:02:16.002+0100,True,16,No
2022-09-05 15:02:17,5261,87.4,44.02,2022-09-05T15:02:16.002+0100,True,16,No
2022-09-05 15:02:18,5635,87.4,44.02,2022-09-05T15:02:16.002+0100,True,16,No
2022-09-05 15:02:19,8746,80.11667,44.02,2022-09-05T15:02:18.102+0100,True,16,No
2022-09-05 15:02:20,5500,80.11667,44.02,2022-09-05T15:02:18.102+0100,True,16,No
2022-09-05 15:02:21,8694,80.11667,44.02,2022-09-05T15:02:20.257+0100,True,16,No
2022-09-05 15:02:22,5448,80.11667,44.02,2022-09-05T15:02:20.257+0100,True,16,No
2022-09-05 15:02:23,8642,80.11667,44.02,2022-09-05T15:02:22.317+0100,True,16,No
2022-09-05 15:02:24,5537,80.11667,44.02,2022-09-05T15:02:22.317+0100,True,16,No
2022-09-05 15:02:25,8747,72.833336,44.02,2022-09-05T15:02:24.325+0100,True,16,No
2022-09-05 15:02:26,5500,72.833336,44.02,2022-09-05T15:02:24.325+0100,True,16,No
2022-09-05 15:02:27,8694,80.11667,44.02,2022-09-05T15:02:26.320+0100,True,16,No
2022-09-05 15:02:28,5500,80.11667,44.02,2022-09-05T15:02:26.320+0100,True,16,No
2022-09-05 15:02:29,8690,87.4,44.02,2022-09-05T15:02:28.322+0100,True,16,No
2022-09-05 15:02:30,5500,87.4,44.02,2022-09-05T15:02:28.322+0100,True,16,No
2022-09-05 15:02:31,8746,80.11667,44.02,2022-09-05T15:02:30.329+0100,True,16,No
2022-09-05 15:02:32,5448,80.11667,44.02,2022-09-05T15:02:30.329+0100,True,16,No
2022-09-05 15:02:33,8798,80.11667,44.02,2022-09-05T15:02:32.327+0100,True,16,No
2022-09-05 15:02:34,5448,80.11667,44.02,2022-09-05T15:02:32.327+0100,True,16,No
2022-09-05 15:02:35,8742,87.4,44.02,2022-09-05T15:02:34.394+0100,True,16,No
2022-09-05 15:02:36,5500,87.4,44.02,2022-09-05T15:02:34.394+0100,True,16,No
2022-09-05 15:02:37,8690,87.4,44.02,2022-09-05T15:02:36.406+0100,True,16,No
2022-09-05 15:02:38,5812,87.4,44.02,2022-09-05T15:02:36.406+0100,True,16,No
2022-09-05 15:02:40,9020,87.4,44.02,2022-09-05T15:02:38.519+0100,True,16,No
2022-09-05 15:02:40,5500,87.4,44.02,2022-09-05T15:02:38.519+0100,True,16,No
2022-09-05 15:02:41,8695,94.683334,44.02,2022-09-05T15:02:40.568+0100,True,16,No
2022-09-05 15:02:42,5500,94.683334,44.02,2022-09-05T15:02:40.568+0100,True,16,No
2022-09-05 15:02:43,8695,94.683334,44.02,2022-09-05T15:02:42.581+0100,True,16,No
2022-09-05 15:02:44,5589,94.683334,44.02,2022-09-05T15:02:42.581+0100,True,16,No
2022-09-05 15:02:45,8799,94.683334,44.02,2022-09-05T15:02:44.594+0100,True,16,No
2022-09-05 15:02:46,5448,94.683334,44.02,2022-09-05T15:02:44.594+0100,True,16,No
2022-09-05 15:02:47,8794,87.4,44.02,2022-09-05T15:02:46.671+0100,True,16,No
2022-09-05 15:02:48,5500,87.4,44.02,2022-09-05T15:02:46.671+0100,True,16,No
2022-09-05 15:02:49,8690,87.4,44.02,2022-09-05T15:02:48.718+0100,True,16,No
2022-09-05 15:02:50,5500,87.4,44.02,2022-09-05T15:02:48.718+0100,True,16,No
2022-09-05 15:02:51,8798,80.11667,44.02,2022-09-05T15:02:50.728+0100,True,16,No
2022-09-05 15:02:52,5500,80.11667,44.02,2022-09-05T15:02:50.728+0100,True,16,No
2022-09-05 15:02:53,8746,80.11667,44.02,2022-09-05T15:02:52.751+0100,True,16,No
2022-09-05 15:02:54,5500,80.11667,44.02,2022-09-05T15:02:52.751+0100,True,16,No
2022-09-05 15:02:55,8746,80.11667,44.02,2022-09-05T15:02:54.841+0100,True,16,No
2022-09-05 15:02:56,5261,80.11667,44.02,2022-09-05T15:02:54.841+0100,True,16,No
2022-09-05 15:02:57,8882,72.833336,44.02,2022-09-05T15:02:56.850+0100,True,16,No
2022-09-05 15:02:58,5500,72.833336,44.02,2022-09-05T15:02:56.850+0100,True,16,No
2022-09-05 15:02:59,8747,72.833336,44.02,2022-09-05T15:02:58.938+0100,True,16,No
2022-09-05 15:03:00,5552,72.833336,44.02,2022-09-05T15:02:58.938+0100,True,16,No
2022-09-05 15:03:01,8747,72.833336,44.02,2022-09-05T15:03:00.980+0100,True,16,No
