Real Date,Bytes,X,Y,Last Seen,Associated,Test Point,RMSE
2022-09-05 11:21:45,5448,23.601076,25.17619,2022-09-05T11:21:43.030+0100,True,8,25.314817303129722
2022-09-05 11:22:25,9815,21.609407,24.349468,2022-09-05T11:22:23.873+0100,True,8,24.787118907670433
2022-09-05 11:22:27,9064,22.82923,17.524527,2022-09-05T11:22:25.874+0100,True,8,17.85464321888928
2022-09-05 11:22:27,8700,22.82923,17.524527,2022-09-05T11:22:25.874+0100,True,8,17.85464321888928
2022-09-05 11:22:28,5448,22.82923,17.524527,2022-09-05T11:22:25.874+0100,True,8,17.85464321888928
2022-09-05 11:22:29,8649,23.648954,14.279914,2022-09-05T11:22:27.960+0100,True,8,14.514280279715974
2022-09-05 11:22:30,5500,23.648954,14.279914,2022-09-05T11:22:27.960+0100,True,8,14.514280279715974
2022-09-05 11:22:31,8806,26.815601,7.1379356,2022-09-05T11:22:30.073+0100,True,8,7.160569126955507
2022-09-05 11:22:32,5448,26.815601,7.1379356,2022-09-05T11:22:30.073+0100,True,8,7.160569126955507
2022-09-05 11:22:33,8694,29.133335,0.0,2022-09-05T11:22:32.125+0100,True,8,2.886614999999999
2022-09-05 11:22:34,5448,29.133335,0.0,2022-09-05T11:22:32.125+0100,True,8,2.886614999999999
2022-09-05 11:22:35,8694,29.133335,0.0,2022-09-05T11:22:34.155+0100,True,8,2.886614999999999
2022-09-05 11:22:36,5552,29.133335,0.0,2022-09-05T11:22:34.155+0100,True,8,2.886614999999999
2022-09-05 11:22:37,8694,29.133335,0.0,2022-09-05T11:22:36.155+0100,True,8,2.886614999999999
2022-09-05 11:22:38,5448,29.133335,0.0,2022-09-05T11:22:36.155+0100,True,8,2.886614999999999
2022-09-05 11:22:39,8694,29.133335,0.0,2022-09-05T11:22:38.159+0100,True,8,2.886614999999999
2022-09-05 11:22:40,5500,29.133335,0.0,2022-09-05T11:22:38.159+0100,True,8,2.886614999999999
2022-09-05 11:22:41,8746,29.133335,0.0,2022-09-05T11:22:40.166+0100,True,8,2.886614999999999
2022-09-05 11:22:42,5448,29.133335,0.0,2022-09-05T11:22:40.166+0100,True,8,2.886614999999999
2022-09-05 11:22:43,8694,29.133335,0.0,2022-09-05T11:22:42.229+0100,True,8,2.886614999999999
2022-09-05 11:22:44,5448,29.133335,0.0,2022-09-05T11:22:42.229+0100,True,8,2.886614999999999
2022-09-05 11:22:45,8746,29.133335,0.0,2022-09-05T11:22:44.259+0100,True,8,2.886614999999999
2022-09-05 11:22:46,5500,29.133335,0.0,2022-09-05T11:22:44.259+0100,True,8,2.886614999999999
2022-09-05 11:22:47,8694,29.133335,0.0,2022-09-05T11:22:46.439+0100,True,8,2.886614999999999
2022-09-05 11:22:48,5448,29.133335,0.0,2022-09-05T11:22:46.439+0100,True,8,2.886614999999999
2022-09-05 11:22:49,8694,29.133335,0.0,2022-09-05T11:22:48.486+0100,True,8,2.886614999999999
2022-09-05 11:22:50,5500,29.133335,0.0,2022-09-05T11:22:48.486+0100,True,8,2.886614999999999
2022-09-05 11:22:51,8682,29.133335,0.0,2022-09-05T11:22:50.507+0100,True,8,2.886614999999999
2022-09-05 11:22:52,5448,29.133335,0.0,2022-09-05T11:22:50.507+0100,True,8,2.886614999999999
2022-09-05 11:22:53,8578,29.133335,0.0,2022-09-05T11:22:52.537+0100,True,8,2.886614999999999
2022-09-05 11:22:54,5448,29.133335,0.0,2022-09-05T11:22:52.537+0100,True,8,2.886614999999999
2022-09-05 11:22:55,8682,29.133335,0.0,2022-09-05T11:22:54.591+0100,True,8,2.886614999999999
2022-09-05 11:22:56,5552,29.133335,0.0,2022-09-05T11:22:54.591+0100,True,8,2.886614999999999
2022-09-05 11:22:57,8578,29.133335,0.0,2022-09-05T11:22:56.659+0100,True,8,2.886614999999999
2022-09-05 11:22:58,5448,29.133335,0.0,2022-09-05T11:22:56.659+0100,True,8,2.886614999999999
2022-09-05 11:22:59,5448,29.133335,0.0,2022-09-05T11:22:56.659+0100,True,8,2.886614999999999
2022-09-05 11:23:00,8630,29.133335,0.0,2022-09-05T11:22:58.694+0100,True,8,2.886614999999999
2022-09-05 11:23:01,5500,29.133335,0.0,2022-09-05T11:22:58.694+0100,True,8,2.886614999999999
2022-09-05 11:23:02,8578,29.133335,0.0,2022-09-05T11:23:00.766+0100,True,8,2.886614999999999
2022-09-05 11:23:03,5448,29.133335,0.0,2022-09-05T11:23:00.766+0100,True,8,2.886614999999999
2022-09-05 11:23:04,8578,29.133335,0.0,2022-09-05T11:23:02.808+0100,True,8,2.886614999999999
2022-09-05 11:23:05,5396,29.133335,0.0,2022-09-05T11:23:02.808+0100,True,8,2.886614999999999
2022-09-05 11:23:06,8578,29.133335,0.0,2022-09-05T11:23:04.924+0100,True,8,2.886614999999999
2022-09-05 11:23:07,5500,29.133335,0.0,2022-09-05T11:23:04.924+0100,True,8,2.886614999999999
2022-09-05 11:23:08,8578,29.133335,0.0,2022-09-05T11:23:06.984+0100,True,8,2.886614999999999
2022-09-05 11:23:09,5448,29.133335,0.0,2022-09-05T11:23:06.984+0100,True,8,2.886614999999999
2022-09-05 11:23:10,8630,29.133335,0.0,2022-09-05T11:23:09.049+0100,True,8,2.886614999999999
2022-09-05 11:23:11,5500,29.133335,0.0,2022-09-05T11:23:09.049+0100,True,8,2.886614999999999
2022-09-05 11:23:12,8578,29.133335,0.0,2022-09-05T11:23:11.147+0100,True,8,2.886614999999999
2022-09-05 11:23:13,5448,29.133335,0.0,2022-09-05T11:23:11.147+0100,True,8,2.886614999999999
2022-09-05 11:23:14,8578,29.133335,0.0,2022-09-05T11:23:13.321+0100,True,8,2.886614999999999
2022-09-05 11:23:15,5500,29.133335,0.0,2022-09-05T11:23:13.321+0100,True,8,2.886614999999999
2022-09-05 11:23:16,8690,26.401634,0.8087671,2022-09-05T11:23:15.386+0100,True,8,0.8234698351721272
2022-09-05 11:23:17,5448,26.401634,0.8087671,2022-09-05T11:23:15.386+0100,True,8,0.8234698351721272
2022-09-05 11:23:18,8578,29.133335,0.0,2022-09-05T11:23:17.430+0100,True,8,2.886614999999999
2022-09-05 11:23:19,5500,29.133335,0.0,2022-09-05T11:23:17.430+0100,True,8,2.886614999999999
2022-09-05 11:23:20,8630,29.133335,0.0,2022-09-05T11:23:19.495+0100,True,8,2.886614999999999
2022-09-05 11:23:21,5500,29.133335,0.0,2022-09-05T11:23:19.495+0100,True,8,2.886614999999999
2022-09-05 11:23:22,8630,29.133335,0.0,2022-09-05T11:23:21.537+0100,True,8,2.886614999999999
2022-09-05 11:23:23,5448,29.133335,0.0,2022-09-05T11:23:21.537+0100,True,8,2.886614999999999
2022-09-05 11:23:24,8682,29.133335,0.0,2022-09-05T11:23:23.655+0100,True,8,2.886614999999999
2022-09-05 11:23:25,5552,29.133335,0.0,2022-09-05T11:23:23.655+0100,True,8,2.886614999999999
2022-09-05 11:23:26,8630,29.133335,0.0,2022-09-05T11:23:25.702+0100,True,8,2.886614999999999
2022-09-05 11:23:27,5812,29.133335,0.0,2022-09-05T11:23:25.702+0100,True,8,2.886614999999999
2022-09-05 11:23:28,8640,25.194498,0.032813314,2022-09-05T11:23:27.701+0100,True,8,1.0527335136964453
2022-09-05 11:23:29,5500,25.194498,0.032813314,2022-09-05T11:23:27.701+0100,True,8,1.0527335136964453
2022-09-05 11:23:30,8626,21.85,0.0,2022-09-05T11:23:29.736+0100,True,8,4.396719999999998
2022-09-05 11:23:31,5552,21.85,0.0,2022-09-05T11:23:29.736+0100,True,8,4.396719999999998
2022-09-05 11:23:32,8630,29.133335,0.0,2022-09-05T11:23:31.806+0100,True,8,2.886614999999999
2022-09-05 11:23:33,5552,29.133335,0.0,2022-09-05T11:23:31.806+0100,True,8,2.886614999999999
2022-09-05 11:23:34,5448,29.133335,0.0,2022-09-05T11:23:31.806+0100,True,8,2.886614999999999
2022-09-05 11:23:35,8630,29.133335,0.0,2022-09-05T11:23:33.848+0100,True,8,2.886614999999999
2022-09-05 11:23:36,8682,29.133335,0.0,2022-09-05T11:23:35.874+0100,True,8,2.886614999999999
2022-09-05 11:23:37,5500,29.133335,0.0,2022-09-05T11:23:35.874+0100,True,8,2.886614999999999
