Real Date,Bytes,X,Y,Last Seen,Associated,Test Point
2022-09-05 15:35:59,8637,131.1,0.0,2022-09-05T15:35:58.705+0100,true,18
2022-09-05 15:36:00,5261,131.1,0.0,2022-09-05T15:35:58.705+0100,true,18
2022-09-05 15:36:01,8689,131.1,0.0,2022-09-05T15:36:00.731+0100,true,18
2022-09-05 15:36:02,5448,131.1,0.0,2022-09-05T15:36:00.731+0100,true,18
2022-09-05 15:36:03,795558,131.1,0.0,2022-09-05T15:36:02.785+0100,true,18
2022-09-05 15:36:04,4034664,131.1,0.0,2022-09-05T15:36:02.785+0100,true,18
2022-09-05 15:36:05,9142,131.1,0.0,2022-09-05T15:36:04.855+0100,true,18
2022-09-05 15:36:06,5344,131.1,0.0,2022-09-05T15:36:04.855+0100,true,18
2022-09-05 15:36:07,8793,131.1,0.0,2022-09-05T15:36:06.861+0100,true,18
2022-09-05 15:36:08,5500,131.1,0.0,2022-09-05T15:36:06.861+0100,true,18
2022-09-05 15:36:09,8637,131.1,0.0,2022-09-05T15:36:08.874+0100,true,18
2022-09-05 15:36:10,5956,131.1,0.0,2022-09-05T15:36:08.874+0100,true,18
2022-09-05 15:36:11,1282167,131.1,0.0,2022-09-05T15:36:10.920+0100,true,18
2022-09-05 15:36:12,4096107,131.1,0.0,2022-09-05T15:36:10.920+0100,true,18
2022-09-05 15:36:13,8637,131.1,0.0,2022-09-05T15:36:13.000+0100,true,18
2022-09-05 15:36:14,5448,131.1,0.0,2022-09-05T15:36:13.000+0100,true,18
2022-09-05 15:36:15,8689,131.1,0.0,2022-09-05T15:36:15.014+0100,true,18
2022-09-05 15:36:16,5500,131.1,0.0,2022-09-05T15:36:15.014+0100,true,18
2022-09-05 15:36:17,8689,131.1,0.0,2022-09-05T15:36:17.027+0100,true,18
2022-09-05 15:36:18,5500,131.1,0.0,2022-09-05T15:36:17.027+0100,true,18
2022-09-05 15:36:19,8741,131.1,0.0,2022-09-05T15:36:19.049+0100,true,18
2022-09-05 15:36:20,1081136,131.1,0.0,2022-09-05T15:36:19.049+0100,true,18
2022-09-05 15:36:21,4348536,131.1,0.0,2022-09-05T15:36:21.143+0100,true,18
2022-09-05 15:36:22,5552,131.1,0.0,2022-09-05T15:36:21.143+0100,true,18
2022-09-05 15:36:23,5635,131.1,0.0,2022-09-05T15:36:21.143+0100,true,18
2022-09-05 15:36:24,8741,131.1,0.0,2022-09-05T15:36:23.148+0100,true,18
2022-09-05 15:36:25,5537,131.1,0.0,2022-09-05T15:36:23.148+0100,true,18
2022-09-05 15:36:26,8793,131.1,0.0,2022-09-05T15:36:25.189+0100,true,18
2022-09-05 15:36:27,5448,131.1,0.0,2022-09-05T15:36:25.189+0100,true,18
2022-09-05 15:36:28,8741,131.1,0.0,2022-09-05T15:36:27.223+0100,true,18
2022-09-05 15:36:29,3587279,122.34192,4.0174346,2022-09-05T15:36:29.234+0100,true,18
2022-09-05 15:36:30,2759551,122.34192,4.0174346,2022-09-05T15:36:29.234+0100,true,18
2022-09-05 15:36:31,5500,122.34192,4.0174346,2022-09-05T15:36:29.234+0100,true,18
2022-09-05 15:36:32,8699,117.39595,6.478822,2022-09-05T15:36:31.241+0100,true,18
2022-09-05 15:36:33,5448,117.39595,6.478822,2022-09-05T15:36:31.241+0100,true,18
2022-09-05 15:36:34,8648,112.476654,8.899263,2022-09-05T15:36:33.277+0100,true,18
2022-09-05 15:36:35,5902,112.476654,8.899263,2022-09-05T15:36:33.277+0100,true,18
2022-09-05 15:36:36,8745,110.00001,10.0,2022-09-05T15:36:35.348+0100,true,18
2022-09-05 15:36:37,5396,110.00001,10.0,2022-09-05T15:36:35.348+0100,true,18
2022-09-05 15:36:38,8693,110.00001,10.0,2022-09-05T15:36:37.344+0100,true,18
2022-09-05 15:36:39,5448,110.00001,10.0,2022-09-05T15:36:37.344+0100,true,18
2022-09-05 15:36:40,3369247,110.0,10.0,2022-09-05T15:36:39.348+0100,true,18
2022-09-05 15:36:41,2970732,110.0,10.0,2022-09-05T15:36:39.348+0100,true,18
2022-09-05 15:36:42,8693,110.00001,10.0,2022-09-05T15:36:41.356+0100,true,18
2022-09-05 15:36:43,5500,110.00001,10.0,2022-09-05T15:36:41.356+0100,true,18
2022-09-05 15:36:44,8693,110.0,9.999999,2022-09-05T15:36:43.351+0100,true,18
2022-09-05 15:36:45,5433,110.0,9.999999,2022-09-05T15:36:43.351+0100,true,18
2022-09-05 15:36:46,8791,110.0,10.0,2022-09-05T15:36:45.353+0100,true,18
2022-09-05 15:36:47,5500,110.0,10.0,2022-09-05T15:36:45.353+0100,true,18
2022-09-05 15:36:48,8700,104.31898,13.787349,2022-09-05T15:36:47.373+0100,true,18
2022-09-05 15:36:49,5448,104.31898,13.787349,2022-09-05T15:36:47.373+0100,true,18
2022-09-05 15:36:50,8699,95.36048,19.917305,2022-09-05T15:36:49.379+0100,true,18
2022-09-05 15:36:51,5552,95.36048,19.917305,2022-09-05T15:36:49.379+0100,true,18
2022-09-05 15:36:52,8648,90.841545,22.920965,2022-09-05T15:36:51.392+0100,true,18
2022-09-05 15:36:53,3254174,90.841545,22.920965,2022-09-05T15:36:51.392+0100,true,18
2022-09-05 15:36:54,2940509,84.70736,25.96592,2022-09-05T15:36:53.422+0100,true,18
2022-09-05 15:36:55,5448,84.70736,25.96592,2022-09-05T15:36:53.422+0100,true,18
2022-09-05 15:36:56,8751,81.60237,27.180355,2022-09-05T15:36:55.510+0100,true,18
2022-09-05 15:36:57,5500,81.60237,27.180355,2022-09-05T15:36:55.510+0100,true,18
2022-09-05 15:36:58,12953,80.821106,26.766348,2022-09-05T15:36:57.524+0100,true,18
2022-09-05 15:36:59,5500,80.821106,26.766348,2022-09-05T15:36:57.524+0100,true,18
2022-09-05 15:37:00,14527,84.002754,24.3948,2022-09-05T15:36:59.526+0100,true,18
2022-09-05 15:37:01,5500,84.002754,24.3948,2022-09-05T15:36:59.526+0100,true,18
2022-09-05 15:37:02,8744,84.42218,24.0,2022-09-05T15:37:01.571+0100,true,18
2022-09-05 15:37:03,5448,84.42218,24.0,2022-09-05T15:37:01.571+0100,true,18
2022-09-05 15:37:04,3339319,85.62296,24.0,2022-09-05T15:37:03.668+0100,true,18
2022-09-05 15:37:05,5849,85.62296,24.0,2022-09-05T15:37:03.668+0100,true,18
2022-09-05 15:37:06,8796,86.81561,24.0,2022-09-05T15:37:05.673+0100,true,18
2022-09-05 15:37:07,5396,86.81561,24.0,2022-09-05T15:37:05.673+0100,true,18
2022-09-05 15:37:08,8686,88.0,24.0,2022-09-05T15:37:07.677+0100,true,18
2022-09-05 15:37:09,5552,88.0,24.0,2022-09-05T15:37:07.677+0100,true,18
2022-09-05 15:37:10,8686,88.0,24.0,2022-09-05T15:37:09.690+0100,true,18
2022-09-05 15:37:11,3077519,88.0,24.0,2022-09-05T15:37:09.690+0100,true,18
2022-09-05 15:37:12,8738,88.0,24.0,2022-09-05T15:37:11.698+0100,true,18
2022-09-05 15:37:13,6557,88.0,24.0,2022-09-05T15:37:11.698+0100,true,18
